company,industry,title,street,city,state,postal,latitude,longitude,description,salary
Yakidoo,Support,Data Coordiator,77 Mallory Place,Reno,NV,89505,39.5224,-119.8353,Devolved discrete intranet,$140901.99
Jaxspan,Services,Automation Specialist IV,5 Old Gate Way,Trenton,NJ,08603,40.2805,-74.712,Horizontal didactic database,$138361.38
Jayo,Accounting,Paralegal,8 Erie Junction,Jamaica,NY,11499,40.6514,-73.8708,Ergonomic bifurcated budgetary management,$107798.74
Gabspot,Research and Development,Nuclear Power Engineer,01 Lukken Lane,New York City,NY,10120,40.7506,-73.9894,Organized neutral data-warehouse,$133883.15
Zoombeat,Training,Quality Control Specialist,6 Blue Bill Park Parkway,Davenport,IA,52804,41.5386,-90.6115,Assimilated empowering knowledge user,$62014.63
Quinu,Sales,Senior Cost Accountant,4486 Delladonna Court,Aurora,CO,80015,39.6255,-104.7874,Assimilated solution-oriented protocol,$59632.09
Podcat,Support,Senior Developer,29 Anhalt Way,Port Charlotte,FL,33954,27.0228,-82.1108,Innovative intermediate budgetary management,$61442.21
Youspan,Legal,Biostatistician III,619 Welch Junction,Saint Augustine,FL,32092,29.9475,-81.5264,Down-sized 6th generation definition,$80397.75
Jaxnation,Business Development,Statistician I,9 American Ash Point,Indianapolis,IN,46295,39.7795,-86.1328,Multi-tiered actuating task-force,$53483.13
Midel,Support,Associate Professor,87 Lighthouse Bay Crossing,Shawnee Mission,KS,66286,38.8999,-94.832,Optimized web-enabled parallelism,$61920.25
Minyx,Accounting,Legal Assistant,71 Gateway Drive,Sacramento,CA,94230,38.3774,-121.4444,Reverse-engineered bifurcated local area network,$169500.42
Skivee,Marketing,Web Designer III,3 Elka Hill,Virginia Beach,VA,23459,36.9216,-76.0171,Profit-focused asymmetric task-force,$62584.74
Youopia,Marketing,Web Developer I,66772 Russell Trail,Santa Barbara,CA,93111,34.4453,-119.8025,Fundamental scalable time-frame,$175202.83
Feedfire,Legal,Analog Circuit Design manager,28 Helena Circle,Salt Lake City,UT,84125,40.6681,-111.9083,Public-key high-level implementation,$149078.21
Devpulse,Training,Help Desk Operator,24 Kim Hill,Greensboro,NC,27425,36.0807,-80.0244,Cross-group discrete concept,$147603.94
Riffwire,Marketing,Pharmacist,8 Division Road,New Hyde Park,NY,11044,40.7548,-73.6018,Assimilated contextually-based ability,$63736.07
Skilith,Human Resources,Structural Analysis Engineer,3689 Ludington Junction,Anchorage,AK,99512,61.204,-149.8084,Managed didactic archive,$118837.84
Jaloo,Human Resources,Developer III,676 2nd Park,Houston,TX,77266,29.834,-95.4342,Assimilated client-server Graphical User Interface,$168869.54
Feednation,Training,Structural Engineer,81 Forest Plaza,Denver,CO,80270,39.7388,-104.4083,Multi-channelled human-resource knowledge user,$148281.09
Plambee,Sales,Design Engineer,712 Kennedy Trail,Helena,MT,59623,46.5901,-112.0402,Virtual directional hub,$93918.59
Eamia,Support,Financial Advisor,73 Bay Point,Detroit,MI,48224,42.4098,-82.9441,Public-key asymmetric middleware,$147473.69
Devpoint,Support,Mechanical Systems Engineer,0 Sauthoff Plaza,Atlanta,GA,30351,33.8444,-84.474,Assimilated asynchronous project,$163627.18
Jaxnation,Sales,Paralegal,6757 Golden Leaf Terrace,Richmond,VA,23203,37.5593,-77.4471,Synchronised zero tolerance knowledge base,$53925.03
Yoveo,Accounting,Senior Financial Analyst,63 Commercial Center,Madison,WI,53779,43.0982,-89.3242,Ameliorated transitional toolset,$58072.21
Meembee,Legal,Human Resources Assistant I,17 Lunder Point,El Paso,TX,79945,31.6948,-106.3,Exclusive client-server conglomeration,$180304.83
Digitube,Sales,Clinical Specialist,54 Butterfield Lane,Wilmington,NC,28410,34.0881,-77.8526,Synchronised tangible complexity,$188087.61
Brightdog,Services,Programmer Analyst III,52 Sachs Point,Colorado Springs,CO,80925,38.7378,-104.6459,Automated modular moratorium,$73779.81
